plant_id,company_id,parentcomp_id,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,continent,country,iso3,state,city_name,metroarea,county,congdist,zip,latitude,longitude
"54605","STADTWERKE AACHEN AG (STAWAG)","0","LAURENZBERG","0.0000","1437.0590","1561.3740","0.0000","4356.2930","4724.2881","0.0000","659.7625","660.9988","Europe","Germany","DEU","Nordrhein-Westfalen","Aachen","","","","0","50.77083","6.105278"
"55435","TRIANEL EUROPEAN ENRGY TRADING","0","KREFELD TRIANEL","0.0000","0.0000","4153045.0000","0.0000","0.0000","3799961.0000","0.0000","0.0000","2185.8350","Europe","Germany","DEU","Nordrhein-Westfalen","Krefeld","","","","0","51.33333","6.566667"
"54843","ENERCON GMBH","0","RYSUMER NACKEN","0.0000","0.0000","0.0000","0.0000","17395.5801","34791.1719","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Emden","","","","0","53.36666","7.216667"
"53256","EWE AG","0","WYBELSUMER POLDER-3","0.0000","0.0000","0.0000","0.0000","104373.5000","104373.5000","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Emden","","","","0","53.36666","7.216667"
"52955","ENERCON GMBH","0","WYBELSUMER POLDER-4","0.0000","0.0000","0.0000","0.0000","21744.4805","21744.4805","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Emden","","","","0","53.36666","7.216667"
"55171","SWU ENERGIE GMBH","0","KOSTHEIM/MAIN","0.0000","0.0000","0.0000","0.0000","0.0000","8720.0059","0.0000","0.0000","0.0000","Europe","Germany","DEU","Baden-Wurttemberg","Kostheim","","","","0","0","0"
"55890","E.ON WASSERKRAFT GMBH","0","OBERFOHRING","0.0000","0.0000","0.0000","0.0000","0.0000","1895.6530","0.0000","0.0000","0.0000","Europe","Germany","DEU","Bayern","Oberföhring","","","","0","48.16667","11.63333"
"54121","WINDPARK BREBEREN","0","BREBEREN","0.0000","0.0000","0.0000","0.0000","52186.7500","52186.7500","0.0000","0.0000","0.0000","Europe","Germany","DEU","Nordrhein-Westfalen","Breberen","","","","0","51.01667","5.983333"
"55469","WINDPARK BOLDECKER LAND","0","BOLDECKER LAND","0.0000","0.0000","0.0000","0.0000","46388.2188","46388.2188","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Gifhorn","","","","0","52.48333","10.55"
"56151","WINDPARK GIFHORN","0","GIFHORN","0.0000","0.0000","0.0000","0.0000","57985.2812","57985.2812","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Gifhorn","","","","0","52.48333","10.55"
"55356","ENEX POWER GERMANY GMBH","0","GERETSRIED NORD","0.0000","0.0000","0.0000","0.0000","0.0000","87856.4766","0.0000","0.0000","0.0000","Europe","Germany","DEU","Bayern","Geretsried","","","","0","47.86666","11.46667"
"55155","SUDDEUTSCHE GEOTHERMIE-PROJEKT","0","DURRNHAAR","0.0000","0.0000","0.0000","0.0000","0.0000","29285.5000","0.0000","0.0000","0.0000","Europe","Germany","DEU","Bayern","Dürrnhaar","","","","0","48","11.73333"
"56990","CITY SOLAR AG","0","THIERHAUPTEN","0.0000","0.0000","0.0000","0.0000","0.0000","10835.6299","0.0000","0.0000","0.0000","Europe","Germany","DEU","Bayern","Thierhaupten","","","","0","48.56667","10.91667"
"52466","CITY SOLAR AG","0","KETTERSHAUSEN SOLAR","0.0000","0.0000","0.0000","0.0000","0.0000","5417.8159","0.0000","0.0000","0.0000","Europe","Germany","DEU","Bayern","Kettershausen","","","","0","48.18333","10.26667"
"54066","BECK ENERGY GMBH","0","SOLARKRAFTWERK 522","0.0000","0.0000","0.0000","0.0000","1131.2400","1131.2400","0.0000","0.0000","0.0000","Europe","Germany","DEU","","0","","","","0","0","0"
"55471","BECK ENERGY GMBH","0","SOLARKRAFTWERK 459","0.0000","0.0000","0.0000","0.0000","1131.2400","1131.2400","0.0000","0.0000","0.0000","Europe","Germany","DEU","","0","","","","0","0","0"
"57072","SOLARCOMPLEX GMBH & CO KG","0","RICKELSHAUSEN","0.0000","0.0000","0.0000","0.0000","3684.1150","3684.1150","0.0000","0.0000","0.0000","Europe","Germany","DEU","Bayern","Rickelshausen","","","","0","0","0"
"55961","SOLARCOMPLEX GMBH & CO KG","0","LANGENRIED","0.0000","0.0000","0.0000","0.0000","0.0000","1213.5909","0.0000","0.0000","0.0000","Europe","Germany","DEU","Bayern","Langenried","","","","0","47.56667","9.95"
"54920","FERRERO CHOCOLATE","0","STADTALLENDORF PLANT","0.0000","0.0000","12424.7305","0.0000","0.0000","17236.9902","0.0000","0.0000","1441.6360","Europe","Germany","DEU","Hessen","Stadtallendorf","","","","0","50.83333","9.016666"
"57485","BABCOCK & BROWN WIND PARTNERS","0","HIDDESTORF","0.0000","0.0000","0.0000","0.0000","8697.7920","8697.7920","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Hiddestorf","","","","0","52.28333","9.716667"
"57486","BABCOCK & BROWN WIND PARTNERS","0","LANGWEDEL (BB)","0.0000","0.0000","0.0000","0.0000","0.0000","57985.2812","0.0000","0.0000","0.0000","Europe","Germany","DEU","Niedersachsen","Langwedel","","","","0","52.96667","9.216667"
"57487","BABCOCK & BROWN WIND PARTNERS","0","LEDDIN","0.0000","0.0000","0.0000","0.0000","0.0000","28992.6406","0.0000","0.0000","0.0000","Europe","Germany","DEU","Brandenburg","Leddin","","","","0","52.88334","12.4"
"57529","WPD GMBH","0","BALTIC I C","0.0000","0.0000","0.0000","0.0000","0.0000","152211.4062","0.0000","0.0000","0.0000","Europe","Germany","DEU","Mecklenburg-Vorpommern","Offshoe Darss","","","","0","0","0"
"57548","AMEOS FACHKRANK HALDENSLEBEN","0","FACHKRANK HALDENSLEBEN","0.0000","3151.7971","3653.0879","0.0000","3925.0649","4602.4932","0.0000","1605.9840","1587.4390","Europe","Germany","DEU","","Haldensleben","","","","0","0","0"
