sp.ID time endTime t.ID station_european_code PM10 x y 
PT02020 2005-06-01 2005-06-02 5266 PT02020 17.083 -7.1752860000000007 40.1352809986162600
PT01048 2005-06-01 2005-06-02 5266 PT01048 19.708 -7.7958450000000035 41.3744429995509580
SE0012R 2005-06-01 2005-06-02 5266 SE0012R 5.393 17.3819579999999940 58.8011089992333990
SE0035R 2005-06-01 2005-06-02 5266 SE0035R 8.887 19.7672269999999980 64.2497179961645630
SI0033A 2005-06-01 2005-06-02 5266 SI0033A 15.214 16.1961100000000010 46.6525000020501470
AT0ENK1 2005-06-02 2005-06-03 5267 AT0ENK1 15 13.6711140000000050 48.3916700023180510
AT30202 2005-06-02 2005-06-03 5267 AT30202 14.6 15.9194479999999960 48.1061100022927660
AT4S108 2005-06-02 2005-06-03 5267 AT4S108 9.5 14.5747279999999930 48.5311130023277780
AT30502 2005-06-02 2005-06-03 5267 AT30502 16.4 15.0466789999999970 48.8786090023445470
AT30603 2005-06-02 2005-06-03 5267 AT30603 18.9 16.4333319999999960 48.0861090022907260
AT0ILL1 2005-06-02 2005-06-03 5267 AT0ILL1 15 16.7664029999999930 47.7700000022536810
AT60182 2005-06-02 2005-06-03 5267 AT60182 22.3 14.2436199999999980 47.5672230022251770
AT60156 2005-06-02 2005-06-03 5267 AT60156 11.8 15.8819579999999920 47.3480530021901700
AT10002 2005-06-02 2005-06-03 5267 AT10002 13.1 16.1930640000000030 47.3041650021826640
AT11002 2005-06-02 2005-06-03 5267 AT11002 13.1 16.1931951495004260 47.3042350123343380
AT0PIL1 2005-06-02 2005-06-03 5267 AT0PIL1 13 15.9422300000000020 48.7211110023382400
AT30102 2005-06-02 2005-06-03 5267 AT30102 17.2 14.5627889999999990 48.2266650023043230
AT30302 2005-06-02 2005-06-03 5267 AT30302 15 16.6766740000000060 48.0508310022870120
AT0VOR1 2005-06-02 2005-06-03 5267 AT0VOR1 9 12.9719470000000050 46.6797220020564230
AT0ZOE2 2005-06-02 2005-06-03 5267 AT0ZOE2 14 14.4413949999999930 47.8386120022624790
BELHR01 2005-06-02 2005-06-03 5267 BELHR01 38 4.0160560000000007 50.7270000022606030
BETN016 2005-06-02 2005-06-03 5267 BETN016 19 5.1639780000000011 51.2336530021889090
BETN054 2005-06-02 2005-06-03 5267 BETN054 23 5.1031580000000023 50.7117060022624810
BETN012 2005-06-02 2005-06-03 5267 BETN012 13 3.3625329999999991 51.2545720021855050
BETN029 2005-06-02 2005-06-03 5267 BETN029 10 2.5823220000000040 51.0162780022221510
CH0051A 2005-06-02 2005-06-03 5267 CH0051A 21 6.0051889999999961 46.1625520019248300
CH0004R 2005-06-02 2005-06-03 5267 CH0004R 13.3 6.9792029999999992 47.0494690021354880
CH0033A 2005-06-02 2005-06-03 5267 CH0033A 19.8 8.9339420000000000 46.1603700019242280
CH0002R 2005-06-02 2005-06-03 5267 CH0002R 16.7 6.9444690000000007 46.8130570020863890
CH0005R 2005-06-02 2005-06-03 5267 CH0005R 15.5 8.4633390000000066 47.0674060021389740
CH0024A 2005-06-02 2005-06-03 5267 CH0024A 15.4 7.1483329999999992 46.1389920019182400
CH0003R 2005-06-02 2005-06-03 5267 CH0003R 15.3 8.9046959999999942 47.4797710022117410
CY0002R 2005-06-02 2005-06-03 5267 CY0002R 25.713 33.0580600000000050 35.0391649937171650
CZ0MBEL 2005-06-02 2005-06-03 5267 CZ0MBEL 25 17.8041689999999950 49.5869450023462760
CZ0MDST 2005-06-02 2005-06-03 5267 CZ0MDST 20 16.9608419999999920 49.9319460023316780
CZ0JDUK 2005-06-02 2005-06-03 5267 CZ0JDUK 21 16.1344549999999960 49.0955540023496650
CZ0LFRU 2005-06-02 2005-06-03 5267 CZ0LFRU NA 15.0819579999999980 50.9383350022331310
CZ0MJES 2005-06-02 2005-06-03 5267 CZ0MJES 14.917 17.1911159999999900 50.2425000023100450
CZ0JKOS 2005-06-02 2005-06-03 5267 CZ0JKOS 20.208 15.0802890000000000 49.5727770023466830
CZ0JKRI 2005-06-02 2005-06-03 5267 CZ0JKRI 28 16.0986249999999980 49.3836140023501710
CZ0UKRU 2005-06-02 2005-06-03 5267 CZ0UKRU 17.875 13.8489030000000040 50.6963880022642780
CZ0BKUC 2005-06-02 2005-06-03 5267 CZ0BKUC 35 16.0858589999999990 48.8811110023445960
CZ0ULOM 2005-06-02 2005-06-03 5267 CZ0ULOM 31.917 13.6730610000000040 50.5855560022769880
CZ0UMED 2005-06-02 2005-06-03 5267 CZ0UMED 17.25 13.1319580000000030 50.4280590022933380
CZ0BMIS 2005-06-02 2005-06-03 5267 CZ0BMIS 16.875 16.7250079999999990 48.7922210023413500
CZ0TNUJ 2005-06-02 2005-06-03 5267 CZ0TNUJ 33 18.7438980000000050 49.5941660023460570
CZ0KPRB 2005-06-02 2005-06-03 5267 CZ0KPRB 14.167 12.6180700000000030 50.3727760022986150
CZ0LRAD 2005-06-02 2005-06-03 5267 CZ0LRAD 30 15.0844549999999950 50.6247220022726050
CZ0USNZ 2005-06-02 2005-06-03 5267 CZ0USNZ 16 14.0863909999999990 50.7883340022530160
CZ0LSOU 2005-06-02 2005-06-03 5267 CZ0LSOU 10.583 15.3219470000000030 50.7894440022528500
CZ0TSTD 2005-06-02 2005-06-03 5267 CZ0TSTD 19.167 18.0913940000000050 49.7216680023417370
CZ0ESVR 2005-06-02 2005-06-03 5267 CZ0ESVR 11.821 16.0361140000000010 49.7352790023412150
CZ0UTUS 2005-06-02 2005-06-03 5267 CZ0UTUS 29.042 13.3338940000000060 50.3797190022979750
CZ0EUOR 2005-06-02 2005-06-03 5267 CZ0EUOR 26 16.4222280000000080 49.9802780023288310
